MSN,year,quantity
IQICB,1964,0.0
IQTCB,1964,0.0
IYICB,1964,0.0
IYTCB,1964,0.0
JFACB,1964,37911.0
JFTCB,1964,37911.0
JFTXB,1964,37911.0
KSCCB,1964,260.0
KSICB,1964,24.0
KSRCB,1964,0.0
KSTCB,1964,284.0
KSTXB,1964,284.0
LOACB,1964,0.0
LOCCB,1964,3782.0
LOICB,1964,8602.0
LORCB,1964,6513.0
LOTCB,1964,18897.0
LOTXB,1964,18897.0
LUACB,1964,436.0
LUICB,1964,141.0
LUTCB,1964,577.0
LUTXB,1964,577.0
MBICB,1964,0.0
MGACB,1964,19502.0
MGCCB,1964,354.0
MGICB,1964,424.0
MGTCB,1964,20281.0
MGTXB,1964,20281.0
MMTCB,1964,20281.0
MSICB,1964,0.0
NAICB,1964,0.0
NGACB,1964,0.0
NGCCB,1964,0.0
NGEIB,1964,0.0
NGICB,1964,0.0
NGRCB,1964,0.0
NGTCB,1964,0.0
NGTPB,1964,0.0
NGTXB,1964,0.0
NNTCB,1964,0.0
NUEGB,1964,0.0
NUETB,1964,0.0
OHICB,1964,0.0
OPICB,1964,2872.0
OPTCB,1964,2872.0
OPTXB,1964,2872.0
P1ICB,1964,5366.0
P1TCB,1964,8783.0
P1TXB,1964,8783.0
PAACB,1964,74849.0
PACCB,1964,1510.0
PAEIB,1964,26402.0
PAICB,1964,19065.0
PARCB,1964,178.0
PATCB,1964,122004.0
PATPB,1964,174.3
PATXB,1964,95602.0
PCCCB,1964,0.0
PCEIB,1964,0.0
PCICB,1964,866.0
PCTCB,1964,866.0
PCTXB,1964,866.0
PLICB,1964,0.0
PMTCB,1964,122004.0
PPICB,1964,0.0
PPTCB,1964,0.0
PQACB,1964,0.0
PQCCB,1964,0.0
PQICB,1964,0.0
PQRCB,1964,0.0
PQTCB,1964,0.0
PQTXB,1964,0.0
PYICB,1964,0.0
PYTCB,1964,0.0
RETCB,1964,1429.0
RFACB,1964,7705.0
RFCCB,1964,215.0
RFEIB,1964,26059.0
RFICB,1964,9810.0
RFTCB,1964,43789.0
RFTXB,1964,17730.0
SFCCB,1964,0.0
SFEIB,1964,0.0
SFINB,1964,0.0
SFRCB,1964,0.0
SFTCB,1964,0.0
SGICB,1964,2713.0
SNICB,1964,0.0
SOCCB,1964,0.0
SOEGB,1964,0.0
SOICB,1964,0.0
SORCB,1964,0.0
SOTCB,1964,0.0
SOTXB,1964,0.0
TEACB,1964,74849.0
TEAPB,1964,106.9
TECCB,1964,6853.0
TECPB,1964,9.8
TEEIB,1964,26696.0
TEICB,1964,32352.0
TEIPB,1964,46.2
TERCB,1964,9378.0
TERPB,1964,13.4
TETCB,1964,123433.0
TETGR,1964,0.0
TETPB,1964,176.3
TETXB,1964,123433.0
TNACB,1964,74849.0
TNCCB,1964,3071.0
TNICB,1964,23750.0
TNRCB,1964,2866.0
TNTXB,1964,104536.0
TPOPP,1964,700.0
UOICB,1964,0.0
USICB,1964,0.0
WDCCB,1964,0.0
WDEIB,1964,0.0
WDICB,1964,224.0
WDRCB,1964,0.0
WDTCB,1964,224.0
WSCCB,1964,0.0
WSEIB,1964,0.0
WSICB,1964,0.0
WSTCB,1964,0.0
WWCCB,1964,0.0
WWEIB,1964,0.0
WWICB,1964,224.0
WWTCB,1964,224.0
WWTXB,1964,224.0
WXICB,1964,0.0
WYCCB,1964,0.0
WYEGB,1964,0.0
WYICB,1964,0.0
WYTCB,1964,0.0
WYTXB,1964,0.0
ABICB,1965,0.0
ARICB,1965,2033.0
ARTCB,1965,2033.0
ARTXB,1965,2033.0
AVACB,1965,3094.0
AVTCB,1965,3094.0
AVTXB,1965,3094.0
BDACB,1965,0.0
BDLCB,1965,0.0
BDTCB,1965,0.0
BFLCB,1965,0.0
BFTCB,1965,0.0
BMTCB,1965,172.0
BQICB,1965,0.0
